Type	Class	Masa	Tithi	Visible	Fast Subject	Text	FastType	Used	Start Year	Spec	SpecRef	Sanskranti	Offset
T	5	6	23	1		Jagaddhatri Puja	0	1	-10000				
T	2	6	25	1	Gaura Kisora Dasa Babaji	Srila Gaura Kisora Dasa Babaji -- Disappearance	1	1	-10000				
T	3	6	28	1		Sri Bhugarbha Gosvami -- Disappearance	0	1	-10000				
T	3	6	28	1		Sri Kasisvara Pandita -- Disappearance	0	1	-10000				
T	1	6	29	1		Sri Krsna Rasayatra	0	1	-10000				
T	1	6	29	1		Tulasi-Saligrama Vivaha (marriage)	0	1	-10000				
T	3	6	29	1		Sri Nimbarkacarya -- Appearance	0	1	-10000				
T	1	7	0	1		Katyayani vrata begins	0	1	-10000				
T	3	7	10	1		Sri Narahari Sarakara Thakura -- Disappearance	0	1	-10000				
T	3	7	11	1		Sri Kaliya Krsnadasa -- Disappearance	0	1	-10000				
T	3	7	12	1		Sri Saranga Thakura -- Disappearance	0	1	-10000				
T	1	7	20	1		Odana sasthi	0	1	-10000				
T	1	7	25	1		Advent of Srimad Bhagavad-gita	0	1	-10000				
T	1	7	29	1		Katyayani vrata ends	0	1	-10000				
T	2	8	3	1	Bhaktisiddhanta Sarasvati	Srila Bhaktisiddhanta Sarasvati Thakura -- Disappearance	1	1	-10000				
T	3	8	10	1		Sri Devananda Pandita -- Disappearance	0	1	-10000				
T	3	8	12	1		Sri Mahesa Pandita -- Disappearance	0	1	-10000				
T	3	8	12	1		Sri Uddharana Datta Thakura -- Disappearance	0	1	-10000				
T	3	8	15	1		Sri Locana Dasa Thakura -- Appearance	0	1	-10000				
T	3	8	17	1		Srila Jiva Gosvami -- Disappearance	0	1	-10000				
T	3	8	17	1		Sri Jagadisa Pandita -- Disappearance	0	1	-10000				
T	3	8	26	1		Sri Jagadisa Pandita -- Appearance	0	1	-10000				
T	1	8	29	1		Sri Krsna Pusya Abhiseka	0	1	-10000				
T	3	9	4	1		Sri Ramacandra Kaviraja -- Disappearance	0	1	-10000				
T	3	9	4	1		Srila Gopala Bhatta Gosvami -- Appearance	0	1	-10000				
T	3	9	5	1		Sri Jayadeva Gosvami -- Disappearance	0	1	-10000				
T	3	9	6	1		Sri Locana Dasa Thakura -- Disappearance	0	1	-10000				
T	1	9	19	1		Vasanta Pancami	0	1	-10000				
T	3	9	19	1		Srimati Visnupriya Devi -- Appearance	0	1	-10000				
T	5	9	19	1		Sarasvati Puja	0	1	-10000				
T	3	9	19	1		Srila Visvanatha Cakravarti Thakura -- Disappearance	0	1	-10000				
T	3	9	19	1		Sri Pundarika Vidyanidhi -- Appearance	0	1	-10000				
T	3	9	19	1		Sri Raghunandana Thakura -- Appearance	0	1	-10000				
T	3	9	19	1		Srila Raghunatha Dasa Gosvami -- Appearance	0	1	-10000				
T	0	9	21	1	Advaita Acarya	Sri Advaita Acarya -- Appearance	1	1	-10000				
T	1	9	22	1		Bhismastami	0	1	-10000				
T	3	9	23	1		Sri Madhvacarya -- Disappearance	0	1	-10000				
T	3	9	24	1		Sri Ramanujacarya -- Disappearance	0	1	-10000				
T	0	9	26	1	Varahadeva	Varaha Dvadasi: Appearance of Lord Varahadeva	1	1	-10000	8			
T	0	9	27	1	Sri Nityananda	Nityananda Trayodasi: Appearance of Sri Nityananda Prabhu	1	1	-10000				
T	1	9	29	1		Sri Krsna Madhura Utsava	0	1	-10000				
T	3	9	29	1		Srila Narottama Dasa Thakura -- Appearance	0	1	-10000				
T	3	10	4	1		Sri Purusottama Das Thakura -- Disappearance	0	1	-10000				
T	2	10	4	1	Bhaktisiddhanta Sarasvati	Srila Bhaktisiddhanta Sarasvati Thakura -- Appearance	1	1	-10000				
T	3	10	11	1		Sri Isvara Puri -- Disappearance	0	1	-10000				
T	1	10	13	1		Siva Ratri	0	1	-10000				
T	2	10	15	1		Srila Jagannatha Dasa Babaji -- Disappearance	0	1	-10000				
T	3	10	15	1		Sri Rasikananda -- Disappearance	0	1	-10000				
T	3	10	18	1		Sri Purusottama Dasa Thakura -- Appearance	0	1	-10000				
T	3	10	26	1		Sri Madhavendra Puri -- Disappearance	0	1	-10000				
T	3	11	7	1		Sri Srivasa Pandita -- Appearance	0	1	-10000				
T	3	11	11	1		Sri Govinda Ghosh -- Disappearance	0	1	-10000				
T	3	11	19	1		Sri Ramanujacarya -- Appearance	0	1	-10000				
T	1	11	26	1		Damanakaropana Dvadasi	0	1	-10000				
T	1	11	29	1		Sri Balarama Rasayatra	0	1	-10000				
T	1	11	29	1		Sri Krsna Vasanta Rasa	0	1	-10000				
T	3	11	29	1		Sri Vamsivadana Thakura -- Appearance	0	1	-10000				
T	3	11	29	1		Sri Syamananda Prabhu -- Appearance	0	1	-10000				
T	0	4	7	1	Sri Krsna	Sri Krsna Janmastami: Appearance of Lord Sri Krsna	5	0	-10000	10			
T	0	10	29	1	Sri Krsna Caitanya Mahaprabhu	Gaura Purnima: Appearance of Sri Caitanya Mahaprabhu	3	0	-10000	12			
T	1	6	0	1		Go Puja. Go Krda. Govardhana Puja.	0	0	-10000	6			
T	0	11	23	1	Sri Ramacandra	Rama Navami: Appearance of Lord Sri Ramacandra	2	0	-10000	9			
T	1	2	1	1		Ratha Yatra	0	0	-10000	11			
R	1			1		Nandotsava	0	0	-10000	13	10		1
R	2			1	Srila Prabhupada	Srila Prabhupada -- Appearance	1	0	1896	15	10		1
R	1			1		Return Ratha (8 days after Ratha Yatra)	0	0	-10000	3	11		8
R	1			1		Hera Pancami (4 days after Ratha Yatra)	0	0	-10000	4	11		4
R	1			1		Gundica Marjana	0	0	-10000	5	11		-1
R	1			1		Festival of Jagannatha Misra	0	0	-10000	14	12		1
S	5			1		Ganga Sagara Mela	0	0	-10000			0	0
S	5			1		Tulasi Jala Dan begins	0	0	-10000			0	0
S	5			1		Tulasi Jala Dan ends	0	0	-10000			1	-1
